"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","DocumentUrl","DOI"
"Lord Chancellor studies facts on Profumo case","","Greenfield, Edward","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-11","Jun 11, 1963","1","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184938127?accountid=10792&bdid=57410&_bd=O6jIf%2B1ewdXNSIYX%2FWe8RaEHEzI%3D",""
"Politicians perturbed by 'Profumo affair'","'Severe blow' for Tory Party","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-10","Jun 10, 1963","2","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184869824?accountid=10792&bdid=57410&_bd=7zlWB5F3mIhEzJ99rYFqXQdirGk%3D",""
"Songs of sex and scandal","A tabloid hack hack digs for dirt, a Cabinet minister sleeps around... Ian Druy's first musical is a tale of our times","Armstrong, Murray","The Guardian (1959-2003)","Historical Newspapers","","","","1989-09-28","Sep 28, 1989","32","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186942870?accountid=10792&bdid=57410&_bd=4eljgsxo78ZjOX96hAGeCfpzyZA%3D",""
"The lady's not a tramp","Amid the sensational claims in her autobiography, one thing emerges about christine Keeler -- that she believes she is the real victim of the Profumo Scandal","Adams, Tim","The Observer (1901- 2003)","Historical Newspapers","","","","2001-02-18","Feb 18, 2001","D1","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/478213054?accountid=10792&bdid=57410&_bd=6qNakaH5oZFilaPiMT8IP2UdDHM%3D",""
"Peers lash BBC over Profumo documentary","HOUSE OF LORDS","","The Guardian (1959-2003)","Historical Newspapers","","","","1987-03-24","Mar 24, 1987","4","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186811742?accountid=10792&bdid=57410&_bd=9U5scJcnrQuTJH70u9SgrAWp6kY%3D",""
"Profumo programme cancelled","","","The Guardian (1959-2003)","Historical Newspapers","","","","1987-03-13","Mar 13, 1987","4","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186771588?accountid=10792&bdid=57410&_bd=0Pw1BN%2BG6VWCbuG753aWlsJDqas%3D",""
"Scandal helps the budget","Critic's view Cinema","Malcolm, Derek","The Guardian (1959-2003)","Historical Newspapers","","","","1989-03-16","Mar 16, 1989","22","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186896885?accountid=10792&bdid=57410&_bd=V%2BPm9GuOycRW0CLNcyGJp2tquaA%3D",""
"LETTERS TO THE EDITOR","Parliament, the people and the Profumo affair","Booth, D J","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-21","Jun 21, 1963","10","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184823390?accountid=10792&bdid=57410&_bd=R53nggm%2F4fy5xsro3qPQgjolyWw%3D",""
"A crisis in Canada over sex and security scandal","","UR CORRESPONDENT","The Guardian (1959-2003)","Historical Newspapers","","","","1966-03-15","Mar 15, 1966","11","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/185243604?accountid=10792&bdid=57410&_bd=dkAd8jWL9Owldge42c%2F2qcrqTSs%3D",""
"People and events concerned in the Profumo affair","","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-09-26","Sep 26, 1963","11","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/185033580?accountid=10792&bdid=57410&_bd=Dwuk5UPB52%2F24%2B9EQNiA%2FIdoLz4%3D",""
"Star of screen and scandal","","Barker, Dennis","The Guardian (1959-2003)","Historical Newspapers","","","","1998-11-16","Nov 16, 1998","16","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/188230582?accountid=10792&bdid=57410&_bd=sdf0McVxH64TF7wTu47iCJfdmdY%3D",""
"Labour to force debate on security and Profumo affair","","Greenfield, Edward","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-08","Jun 8, 1963","1","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184843042?accountid=10792&bdid=57410&_bd=eva6TSE2Ll%2BHD3KF1RiI1KFdVAQ%3D",""
"Profumo affair: airmen cleared","","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-26","Jun 26, 1963","11","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184964506?accountid=10792&bdid=57410&_bd=sLUeDbWgZc%2BQu3cjfwR5C1EViI4%3D",""
"Profumo affair man 'worked for MI5'","","Parry, Gareth","The Guardian (1959-2003)","Historical Newspapers","","","","1982-11-29","Nov 29, 1982","4","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186424085?accountid=10792&bdid=57410&_bd=Tqcg%2B97b3uJRXBD7R7fCAJDuqHo%3D",""
"SEX AND POLITICS","H. MONTGOMERY HYDE, writer and former MP, puts current scandals in an historical perspective","H MONTGOMERY HYDE","The Observer (1901- 2003)","Historical Newspapers","","","","1973-05-27","May 27, 1973","11","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/476142905?accountid=10792&bdid=57410&_bd=8S%2FjiGhH31Hqnuwi3BvjAorl0DA%3D",""
"Friends like this...","The suicide of Dr Kelly has resonances of the Profumo affair Richard Ingram's week","","The Observer (1901- 2003)","Historical Newspapers","","","","2003-07-27","Jul 27, 2003","30","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/478388386?accountid=10792&bdid=57410&_bd=L4mZKcVh59IWkTODJ3lRkJtcAfc%3D",""
"The wages of sin aren't bad - for the men","Andrew Billen reviews the short but lurid history of that much-loved institution, the Tory sex scandal, and offers a foolproof way to determine the fate to the next adulterous MP","Billen, Andrew","The Observer (1901- 2003)","Historical Newspapers","","","","1994-01-09","Jan 9, 1994","21","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/477674032?accountid=10792&bdid=57410&_bd=ZhtsJz1nnAkB1jWMn%2Fmrm0R84k0%3D",""
"Prediction of a Tory scandal is fulfilled","Michael White chronicles the sexual skeletons in the Conservative Party's cupboard","White, Michael","The Guardian (1959-2003)","Historical Newspapers","","","","1981-12-29","Dec 29, 1981","2","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186341335?accountid=10792&bdid=57410&_bd=4t%2BdfpwYtJxI6U2EBlfEufWx1sg%3D",""
"Disclosures 'shocked' nation's moral conscience","Mr Harold Wilson's onslaught Mr Macmillan on 'deep, bitter and lasting wound' Great shock to whole country House of commons Continued from page 2 Existence of letter bred confidence in Mr Profumo's statements Mr Eddowes's call on Mrs Keeler Statement suggested Mr Grimond's challenge on Premier's attitude No meeting with Mr Profumo ? house of Commons Continued from page 3 Mr Nigel Birch calls for resignation of Prime Minister Mr Macleod offers further inquiry Any that would be helpful","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-18","Jun 18, 1963","2","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184963491?accountid=10792&bdid=57410&_bd=9YLYeP7rRlKcDIrVXKGCMbLSLH8%3D",""
"The 10-year cycle","ROBERT LOW recalls the previous scandals that have rocked Conservative governments over the past 20 years","Low, Robert","The Observer (1901- 2003)","Historical Newspapers","","","","1983-10-09","Oct 9, 1983","11","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/476866400?accountid=10792&bdid=57410&_bd=TeMzsesLg0fX3glkB6LgJYRRovI%3D",""
"Inquest on the Profumo affair","","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-17","Jun 17, 1963","8","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184928967?accountid=10792&bdid=57410&_bd=Y5hveNGg8%2F9CDchC5UgieZs16ts%3D",""
"Spy says he stole Profumo secrets","","Mullin, John","The Guardian (1959-2003)","Historical Newspapers","","","","1992-04-20","Apr 20, 1992","6","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187246180?accountid=10792&bdid=57410&_bd=p7yIhpIEKPm77RISf2BlPvimFbo%3D",""
"Voters can enjoy a scandal but serial sleaze is a killer","Adulterous politicians are often rewarded at the polls. But when the peccadilloes pile up, and the people smell malaise, governments fall. Ivor Crewe delves into the ballot box","Crewe, Ivor","The Observer (1901- 2003)","Historical Newspapers","","","","1994-01-16","Jan 16, 1994","20","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/477583865?accountid=10792&bdid=57410&_bd=X26inzZ93ilrstPFHWtc8XjE3pw%3D",""
"Keeler, Profumo and me in between","","Aitken, Ian","The Guardian (1959-2003)","Historical Newspapers","","","","1989-03-27","Mar 27, 1989","11","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187003239?accountid=10792&bdid=57410&_bd=JArxW2kc%2BgwG88FSmOrWEBgSYnk%3D",""
"Smith walks tightrope trying to repeat Wilson coup","'No comment--in Technicolor' was how labour played the 1963 scandal, Michael White sets out the Opposition's options this this","","The Guardian (1959-2003)","Historical Newspapers","","","","1994-01-13","Jan 13, 1994","6","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187484229?accountid=10792&bdid=57410&_bd=bPZ5CVd92Lfuq3KmxLOfyKg%2Ft%2BE%3D",""
"EURATOM AND ""WIDER SETTLEMENT""","Mr Profumo 's hope","Our Political Correspondent","The Guardian (1959-2003)","Historical Newspapers","","","","1960-06-22","Jun 22, 1960","2","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184744951?accountid=10792&bdid=57410&_bd=pQFxIXpsw2%2F8ML3GYsw3KnJELDw%3D",""
"Scandal of a Cannibal","","Spencer, Neil","The Observer (1901- 2003)","Historical Newspapers","","","","1989-02-19","Feb 19, 1989","A7","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/477232637?accountid=10792&bdid=57410&_bd=BUiJuDU7HoWZKI%2FotU499%2BBQRro%3D",""
"Lambton, Jellico, Thorpe, Maudling, Poulson, Smith, Cunningham, Stonehouse, Cordle, Lucan, Nixon, Agnew, Haldemann, Ehrlichman, Mitchell, Blunt","SCANDAL","Leigh, David","The Guardian (1959-2003)","Historical Newspapers","","","","1979-12-28","Dec 28, 1979","11","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186108226?accountid=10792&bdid=57410&_bd=hkcXTeZpvcv5ul1IGuOF4mfcYr8%3D",""
"A pawn's eye view of Profumo","","Wayland Kennet","The Guardian (1959-2003)","Historical Newspapers","","","","1992-05-14","May 14, 1992","24","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187356882?accountid=10792&bdid=57410&_bd=HeZnMRxJ9uDo1bGxgn0Yor2Si28%3D",""
"THE END OF THE AFFAIR","SIMON HOGGART talks to ChristineKeeler about second autobiography","Hoggart, Simon","The Observer (1901- 2003)","Historical Newspapers","","","","1983-03-13","Mar 13, 1983","27","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/476824228?accountid=10792&bdid=57410&_bd=M2xyA6fq6OCYbhBx7pz4RGrdS90%3D",""
"Victims of the Profumo affair","","","The Observer (1901- 2003)","Historical Newspapers","","","","1987-04-05","Apr 5, 1987","19","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/477083306?accountid=10792&bdid=57410&_bd=wHtgek2jiFJtk3NLm8qqFAF724s%3D",""
"The history without intelligence","The Profumo affair might never have emerged. Richard Norton-Taylor on the impliations of the new Official Secrets Bill","Norton-Taylor, Richard","The Guardian (1959-2003)","Historical Newspapers","","","","1989-03-09","Mar 9, 1989","23","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186976085?accountid=10792&bdid=57410&_bd=cIKFB%2Bo%2B4afz5E15DbBQK2PRCm0%3D",""
"Indians find a moral in Profumo affair","","Bhatia, Prem","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-10","Jun 10, 1963","9","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184994881?accountid=10792&bdid=57410&_bd=Qks2G6QeyGSgkrMQvjrTbLYL3oU%3D",""
"Security the issue in Profumo affair","Labour's duty to query extent of risk","FRANCIS BOYD our Political Correspondent","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-07","Jun 7, 1963","1","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184947333?accountid=10792&bdid=57410&_bd=s1mzBa6C%2BvIUwzrBFpy6IKbfXhs%3D",""
"Moscow comment on Profumo affair","","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-10","Jun 10, 1963","9","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184902462?accountid=10792&bdid=57410&_bd=DAWd2n%2F3bkJxupqMNVLI0Gc%2BXb8%3D",""
"LETTERS TO THE EDITOR","Mr Profumo and the Government","Lodge, A","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-17","Jun 17, 1963","8","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184962677?accountid=10792&bdid=57410&_bd=HRsmeZUpfrOmGuSB02K5zX8QDxQ%3D",""
"Scandal's real victim","Film","Gourlay, Logan","The Guardian (1959-2003)","Historical Newspapers","","","","1989-02-25","Feb 25, 1989","A18","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186932918?accountid=10792&bdid=57410&_bd=XGw%2FMmOGFPQN9kaLKSp3bUk5QfM%3D",""
"Candidate's faith in Tory loyalty","No losses over Profumo?","Our own Reporter","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-13","Jun 13, 1963","3","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184896794?accountid=10792&bdid=57410&_bd=Ptaoe%2BFYRw7yWoHTdGvbfkozWsg%3D",""
"'Headless men' in sex scandal finally named","","Hall, Sarah","The Guardian (1959-2003)","Historical Newspapers","","","","2000-08-10","Aug 10, 2000","7","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/188563937?accountid=10792&bdid=57410&_bd=aa40yYIXHwhYpBuRMrMYmzcAIGo%3D",""
"Ivanov denies involvement in Profumo scandal","","Reuter","The Guardian (1959-2003)","Historical Newspapers","","","","1989-05-12","May 12, 1989","10","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187022544?accountid=10792&bdid=57410&_bd=IdJyUXg%2B02wFD7qB9cmhdVclcXY%3D",""
"Cloak-and-dagger affairs","Profumo, Keeler and Ivanov","","The Guardian (1959-2003)","Historical Newspapers","","","","2003-04-22","Apr 22, 2003","3","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/189061137?accountid=10792&bdid=57410&_bd=rOvT0Xl5aDI%2B6K3cVbgHIqoapKE%3D",""
"Hailsham: 'A squalid affair'","","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-14","Jun 14, 1963","1","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184861601?accountid=10792&bdid=57410&_bd=h977FZyur4raLikFF50wOOfojKc%3D",""
"Spy who slipped on a scandal","Obituary Eugene Ivanov","Norton-Taylor, Richard","The Guardian (1959-2003)","Historical Newspapers","","","","1994-01-19","Jan 19, 1994","A13","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187492843?accountid=10792&bdid=57410&_bd=qeTr2CqLqaXJSd0CWJCjKtLkifY%3D",""
"Scandal case could break Pearson or Dief","","Our Correspondent","The Observer (1901- 2003)","Historical Newspapers","","","","1966-03-20","Mar 20, 1966","9","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/475847856?accountid=10792&bdid=57410&_bd=xm30JNemqZWwshnoH1Ko0Lvao2I%3D",""
"May 24, 2022 (Page 22)","","","(Page 22)","Historical Newspapers","","","","2022-05-24","May 24, 2022","22","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2674399715?accountid=10792&bdid=57410&_bd=ecc4RZllGPQLTACaHMDtQNS8OxM%3D",""
"Security inquiry talks likely today","Mr Profumo returns to London home","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-19","Jun 19, 1963","1","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184854751?accountid=10792&bdid=57410&_bd=koubePQkxJKvba%2BCVYnizVTRr3I%3D",""
"From the closet to the Chamber","Peter Tatchell's threat to out MPs is in the rich tradition of sex scandals in the House","White, Michael","The Guardian (1959-2003)","Historical Newspapers","","","","1995-03-21","Mar 21, 1995","20","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187759515?accountid=10792&bdid=57410&_bd=6k%2FOXB%2FA0YtKncFWQJwucUFsxqA%3D",""
"All 'share in guilt over Profumo","","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-24","Jun 24, 1963","3","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184967952?accountid=10792&bdid=57410&_bd=L%2BiyvZL0bBM6LTR%2FcbvFe8bHRmc%3D",""
"Domestic affair at Old Bailey Fleet Strict, Thursday Night","Fleet Strict, Thursday Night","","The Guardian (1959-2003)","Historical Newspapers","","","","1960-10-21","Oct 21, 1960","12","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184682255?accountid=10792&bdid=57410&_bd=iAUm%2BRY0%2F3aMX%2BUaT0Tzm42bv3A%3D",""
"PRIVATE LINE","A school for scandal?","Hamilton, Ian","The Observer (1901- 2003)","Historical Newspapers","","","","1977-02-27","Feb 27, 1977","11","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/476369414?accountid=10792&bdid=57410&_bd=5g0%2F%2BaJlor8Aus6ljwntY%2BbrMIY%3D",""
"Sharp FO denial on Skyfoolt spy scandal","American magazine report","TERENCE PRITTIE our Diplomatic Correspondent","The Guardian (1959-2003)","Historical Newspapers","","","","1963-07-10","Jul 10, 1963","1","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184911989?accountid=10792&bdid=57410&_bd=%2FN7reZBIiWnbmydmibqhz7lbKto%3D",""
"Scandal in the House","","Garnett, Mike; Hoggart, Simon","The Guardian (1959-2003)","Historical Newspapers","","","","1994-11-16","Nov 16, 1994","A4","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187619862?accountid=10792&bdid=57410&_bd=UiHmgopw5o3WEvk34ciGQnBgKEI%3D",""
"When gossip falls short of scandal","","","The Guardian (1959-2003)","Historical Newspapers","","","","1989-03-20","Mar 20, 1989","22","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186863143?accountid=10792&bdid=57410&_bd=oHMQXb9ULN0%2B9z9Co0Hw%2Ffvyr68%3D",""
"Scandals without tears","","Gillie, Darsie","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-19","Jun 19, 1963","1","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184873563?accountid=10792&bdid=57410&_bd=Is9vGSz8hbeGWnVb1oY75iwy4G4%3D",""
"Rocking the gondola","CIMEMA 'Scandal', 'Rain Man' and 'The Unholy'","French, Philip","The Observer (1901- 2003)","Historical Newspapers","","","","1989-03-05","Mar 5, 1989","42","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/477247452?accountid=10792&bdid=57410&_bd=oTxue%2FrJCCVF%2FwGrDESdsv1WktY%3D",""
"The scandal and the ritual","","Dewhurst, Keith","The Guardian (1959-2003)","Historical Newspapers","","","","1969-10-02","Oct 2, 1969","13","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/185523374?accountid=10792&bdid=57410&_bd=bRE8G2fx%2FliJqP%2BjxpGJIVIQ4J0%3D",""
"Turning a deaf ear to the roar of the jungle","MICHAEL WHITE says the Mates-Attali affair should remind Mr Major that in politics, the weak are always vulnerable","","The Guardian (1959-2003)","Historical Newspapers","","","","1993-06-26","Jun 26, 1993","23","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187417308?accountid=10792&bdid=57410&_bd=g9LWlPiGoWg8OlIwaAdpldc553Y%3D",""
"Profumo lie put government in a panic","Macmillan's main concern over the scandal was assessing damage to the Conservatives' image","Norton-Taylor, Richard","The Guardian (1959-2003)","Historical Newspapers","","","","1994-01-01","Jan 1, 1994","5","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187530193?accountid=10792&bdid=57410&_bd=b2UGDhh%2F3sDa60HzPHKNAUFL0YI%3D",""
"American study of events after the Profumo affair","","FRANCIS BOYD our Political Correspondent","The Guardian (1959-2003)","Historical Newspapers","","","","1966-06-01","Jun 1, 1966","5","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/185180703?accountid=10792&bdid=57410&_bd=07spbhL4l2w2lAtFPDiv%2FjQ5f5E%3D",""
"The unanswered questions","The Profumo drama has so far lasted for five acts.The sixth will be played tomorrow in the House of Commons. How many riddles posed in the first five acts will be solved in the sixth?","","The Observer (1901- 2003)","Historical Newspapers","","","","1963-06-16","Jun 16, 1963","9","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/475688208?accountid=10792&bdid=57410&_bd=3nLfPkkJPuvK6fT2sgzHRmONFOk%3D",""
"Inquiry will not be limited to the Profumo affair","","Greenfield, Edward","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-22","Jun 22, 1963","1","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184969685?accountid=10792&bdid=57410&_bd=vws2b0avQbt8YW0Cl%2B3zgJugGHI%3D",""
"'Profumo not at this party '-MP","","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-19","Jun 19, 1963","4","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184958042?accountid=10792&bdid=57410&_bd=OBqr95i%2BzQVj%2B6yU2mAjkXz%2FjmA%3D",""
"Call for Premier's resignation","Profumo affair 'outrage'","Our own Reporter","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-07","Jun 7, 1963","5","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184947276?accountid=10792&bdid=57410&_bd=hud3pSH%2Bs8U%2FSGJKmu5%2By%2BjSQYI%3D",""
